Rank,Company,Revenue ($B),F.Y.,Employees,Market cap. ($B),Headquarters,Founded,Industry,coord_lan,coord_lat,continent
68,Copart,2.21,2020,7600.0,29.04,Dallas,1982,Automotive,32.7423328,-96.9528885,North America
69,CDK Global,2.19,2020,9000.0,5.3,Illinois,2014,Automotive Ecommerce,42.0631599,-88.12807459999999,North America
70,Sina Corp,2.16,2019,8300.0,2.58,Beijing,1998,Internet,41.88206479999999,-87.640541,North America
71,Newegg,2.08,2019,3700.0,,City of Industry,2003,Ecommerce,34.0008644,-117.9201402,North America
72,Instacart,2.0,2017,5755.0,,San Francisco,2012,Hyperlocal Delivery,37.791302,-122.3963906,North America
73,Shutterfly,2.0,2018,7500.0,,"Redwood City, California",1998,Photography,37.5393295,-122.2557601,North America
74,BMC Software,2.0,2019,6000.0,,"Houston, Texas",1980,software as service,29.7425039,-95.5594056,North America
75,Zynga,1.97,2020,2245.0,11.53,San Francisco,1998,Video Games,37.7712078,-122.4035397,North America
76,Dropbox,1.91,2020,2760.0,10.47,San Francisco,2007,Cloud Storage,37.766053,-122.3930163,North America
77,B2W,1.86,2020,,6.9,Rio de Janeiro,2006,Ecommerce,-22.897152,-43.1856443,North America
78,Grubhub,1.82,2020,2841.0,6.62,Chicago,2001,Online Food Ordering,41.8827103,-87.63163300000001,North America
79,Twilio,1.76,2020,4629.0,63.71,San Francisco,2008,Telecommunication,37.7880547,-122.3913353,North America
80,Stitch Fix,1.71,2020,8000.0,4.66,San Francisco,2009,Personalized Services,37.6460268,-122.420897,North America
81,Etsy,1.7,2020,1414.0,25.3,New York,2002,E commerce,40.70051369999999,-73.9883086,North America
82,Pinterest,1.69,2020,2545.0,45.73,San Francisco,2009,Social Media,37.775454,-122.399961,North America
83,Farfetch,1.67,2020,5441.0,16.96,London,2007,Ecommerce,51.5262825,-0.0889932,North America
84,J2 Global,1.49,2020,,5.43,"Los Angeles,",1995,Internet,34.0482763,-118.2585607,North America
85,ANGI Homeservices Inc.,1.47,2020,5100.0,7.92,Denver,1995,Internet,39.7690065,-104.9740209,North America
86,DocuSign,1.45,2021,5630.0,41.13,San Francisco,2003,Software,37.7903743,-122.3922453,North America
87,Groupon,1.42,2020,4159.0,1.3,Chicago,2005,Ecommerce,41.8975264,-87.6433014,North America
88,Ozon,1.39,2020,14834.0,7.1,Moscow,1998,Ecommerce,55.775923,37.660442,North America
89,Vroom.com,1.36,2020,944.0,5.89,New York City,2003,Ecommerce,40.752622,-73.98786969999999,North America
90,Mail.Ru,1.33,2020,,5.17,Moscow,1998,Internet,55.755826,37.6172999,North America
91,Sabre Corporation,1.33,2020,7531.0,4.88,Southlake,1994,Travel,32.9826702,-97.1609012,North America
92,"Kaplan, Inc.",1.31,2020,5500.0,,"Fort Lauderdale, Florida",1938,Education,26.203981,-80.1644408,North America
93,Endurance International Group,1.3,2019,2500.0,4.0,"Burlington, Massachusetts",1998,Internet,42.4957365,-71.1939683,North America
94,Exela Technologies,1.29,2020,22000.0,1.2,"Irving,Texas",2017,Automation,32.8337004,-96.9047705,North America
95,Verisign,1.27,2020,909.0,23.94,Reston,1995,Internet,38.9569186,-77.3620895,North America
96,Flexport,1.27,2020,2000.0,,San Francisco,2013,Software freight forwarding,37.786529,-122.405385,North America
97,LogMeIn,1.26,2019,3974.0,4.21,Boston,2003,Software,42.349005,-71.04822899999999,North America
98,Craigslist,1.0,2018,1000.0,,San Francisco,1995,Classifieds,37.8271784,-122.2913078,North America
99,Grab,1.0,2018,6000.0,,Singapore,2012,Transportation,39.3303479,-76.6095766,North America
100,Ultimate Software,1.0,2018,5000.0,,"Weston, Florida",1993,Software,26.096513,-80.381287,North America
